"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000006712",1573.65614866291,-1.99277619000551e-05,0.00144254321346344,0.114119886684442,0.383793427397251
"ENSG00000006715",2956.78673472009,-1.60011091848729e-05,0.00144264864253333,0.0480966954275353,0.250267548029007
"ENSG00000006740",46.2137823771372,4.57535014926132e-06,0.00144268615710718,0.129441851749773,0.407956450572048
"ENSG00000006744",3478.55204105511,-1.17439541919078e-05,0.00144255067446945,0.286078389040921,0.602501156671564
"ENSG00000006747",44.8451267574678,1.18281707999878,0.328186050345007,0.199371873444735,0.50654369465944
"ENSG00000006756",1041.9216057275,-8.08102211487219e-06,0.00144265193167159,0.196925898013169,0.503846894457272
"ENSG00000006757",203.539897419394,6.52635057618744e-06,0.00144264134103578,0.326190320978266,0.639935501555287
"ENSG00000006831",3107.35623856867,-0.000241135954216138,0.00145278261241048,0.629044219014788,0.848302681485006
"ENSG00000006837",18.2443368673798,-3.10241965338647e-06,0.00144266316931065,0.528711192048484,0.789437384098525
"ENSG00000007001",0.800559495507252,1.19628994359423e-06,0.00144269254887222,0.399247770208851,NA
"ENSG00000007038",10.0136754903788,1.18687451330226e-06,0.00144269292676222,0.367640274638834,0.675303404361196
"ENSG00000007047",2584.53630722153,2.70806305823842e-05,0.00144267598253596,0.00847280152805622,0.108066481717322
"ENSG00000007062",2.90829292735982,-3.55243054920398e-06,0.0014426948239884,0.219652493549903,NA
"ENSG00000007080",1763.2991835928,-9.93144085268647e-06,0.00144261045750737,0.245785265877193,0.56100361050549
"ENSG00000007129",283.789986533419,5.02802557980008e-06,0.0014426870481139,0.0951094268067966,0.349281962419903
"ENSG00000007168",5992.32390592167,-2.55760172893531e-05,0.00144237417990814,0.148316324041449,0.43571481114439
"ENSG00000007171",65.6433077903074,4.48724479174539e-06,0.00144269521091742,0.00589011103641282,0.0914876343867608
"ENSG00000007174",27.2034179845716,-8.35424916107517e-06,0.00144267249552672,0.215420788037321,0.525106172760475
"ENSG00000007202",10838.9712354939,-2.33322560162687e-05,0.00144265352950535,0.018523676959902,0.154974475491812
"ENSG00000007237",294.03821382878,6.85518778312048e-07,0.00144269265976674,0.54046543017205,0.796948068872815
"ENSG00000007255",251.610634748842,1.25577389497211e-05,0.00144268366617748,0.0180101837813954,0.152652673521599
"ENSG00000007264",10.2876561596078,-4.41711519493782e-06,0.00144269114908147,0.0437041651786797,0.238607101983677
"ENSG00000007306",48.9606119412232,1.94108934803683,0.971300430282242,0.000999944196314327,0.0387870036999758
"ENSG00000007312",17.372496889008,-6.29898756877287e-06,0.00144269698711215,0.00125983343884913,0.0432614722306174
"ENSG00000007314",2.47872774559708,-7.68092447913544e-06,0.00144269887879067,0.828493715390904,NA
"ENSG00000007341",336.45768353347,1.64000155552625e-05,0.00144260439633025,0.131175296375331,0.410580520292007
"ENSG00000007350",1.57606103283919,-9.65554761596264e-07,0.00144269093826904,0.582091228697757,NA
"ENSG00000007372",1.74248198929478,-1.15473387895014e-06,0.00144268960506186,0.566561346535102,NA
"ENSG00000007376",1282.87558287401,-1.14601396901069e-05,0.00144264250949342,0.120162594987272,0.393638503999167
"ENSG00000007384",2268.43048315719,-1.66301600797966e-05,0.00144268699562337,0.009065532947056,0.111786508625177
"ENSG00000007392",1675.11076397802,5.06440620937005e-06,0.00144258597965629,0.576643191110096,0.818400746958377
"ENSG00000007402",11.9857390365312,4.87859744998666e-06,0.00144268327034016,0.149849905128598,0.438488699329274
"ENSG00000007516",30.0831440595714,8.53431382242084e-06,0.00144268453027388,0.0360447684530791,0.216549366853819
"ENSG00000007520",1454.87723261028,-1.52039945284062e-05,0.00144260924083374,0.0810847008921035,0.323936787968014
"ENSG00000007541",954.433632158548,-1.95904501422212e-06,0.00144234079691519,0.902035364210485,0.966342746434609
"ENSG00000007545",973.073232535885,2.13302981935906e-05,0.00144265167147582,0.0232562489859453,0.174330369093138
"ENSG00000007866",63.4507477744599,4.50661383465282e-07,0.00144268704526017,0.853644416481488,0.946849729797002
"ENSG00000007908",418.261413852071,-2.64210776124798e-06,0.0014426920652393,0.509318341796536,0.777471250273596
"ENSG00000007923",1726.62805833705,-1.23617909795237e-06,0.00144244917133943,0.925393285256268,0.974205413704014
"ENSG00000007933",12.7764016601325,-1.81229366093969e-06,0.00144268709184341,0.464658664867928,0.746416602472078
"ENSG00000007944",446.64880913686,4.05295588952731e-06,0.00144266705140148,0.412119440759982,0.712021978000905
"ENSG00000007952",6.45841631638264,-2.83992803616453e-07,0.00144268082193509,0.928745415484015,NA
"ENSG00000007968",151.589140937997,4.25041310577547e-06,0.00144268865896685,0.107983351656105,0.372887285455402
"ENSG00000008018",3385.43036821537,-1.02022251758665e-05,0.00144243657877689,0.4695149991433,0.749934215590777
"ENSG00000008056",14.4291924830232,4.27989036744799e-06,0.00144268800655258,0.116062009666772,0.386950547274722
"ENSG00000008083",1203.33840201387,1.71851682385547e-05,0.00144269962069431,0.0032143129269291,0.0681326405507741
"ENSG00000008086",713.172952035889,0.518729211014909,0.222431610105283,0.000529323955733391,0.0293233773709321
"ENSG00000008118",3.36571618629074,-2.49160043247653e-06,0.00144269374589596,0.0629298776716742,NA
"ENSG00000008128",188.219766684605,6.49781807694406e-06,0.00144259072644231,0.469922479261064,0.749964024524119
"ENSG00000008130",3120.80369891858,-1.42684200564745e-05,0.00144264059323465,0.0762005085321346,0.311544601544105
"ENSG00000008226",5.65135307061341,8.6499236819944e-07,0.0014426840343458,0.760720154328589,NA
"ENSG00000008256",1338.18051047262,1.62054148610083e-06,0.00144265737523834,0.758875300964635,0.911583509392522
"ENSG00000008277",47.5056216834663,-2.69516104087099e-06,0.00144268298942777,0.38442186694938,0.689907285527727
"ENSG00000008282",3177.87240006384,2.0461052006201e-05,0.00144267210990832,0.0139355616443784,0.135399105240487
"ENSG00000008283",1160.16805933813,-2.01111699097847e-05,0.00144273994151723,0.0133099613785883,0.132137606676341
"ENSG00000008294",6024.13220294488,2.92736182355302e-05,0.0014426383181504,0.0162780777964411,0.145213777637824
"ENSG00000008300",140.725935840581,-5.51573506608459e-07,0.00144266525232414,0.904162912830742,0.9672211701436
"ENSG00000008311",1428.47002776411,2.02603242431459e-06,0.00144264658317283,0.735099623087632,0.901128323712189
"ENSG00000008323",16.8361814680165,-2.02251715987306e-06,0.00144265400685982,0.711910326825622,0.890960014213255
"ENSG00000008324",416.997057151971,1.64773685364704e-05,0.00144264399121882,0.0505490615650555,0.256149485231147
"ENSG00000008382",232.483098948108,-8.68018244350456e-06,0.00144259218759216,0.341969488975609,0.654544948360437
"ENSG00000008394",1417.97450782408,-4.56371764991577e-06,0.00144268050641442,0.207271623303847,0.516583670276186
"ENSG00000008405",845.85960337865,3.27090846992226e-06,0.00144252994653364,0.766373171447524,0.91422436313641
"ENSG00000008438",4.34840807012049,-8.55813174475259e-06,0.00144269402439807,0.00696470590881076,NA
"ENSG00000008441",1877.25935420155,4.91628762302778e-06,0.00144268544208055,0.12171212024444,0.396432961318731
"ENSG00000008513",4818.34985979983,4.15219517849316e-06,0.00144263756723452,0.530879756833473,0.790724330026672
"ENSG00000008516",45.09753078767,-4.16438701481024e-06,0.00144267781995261,0.275549975918469,0.59056099359506
"ENSG00000008517",2089.39131713888,-8.79603153929184e-06,0.00144269141232425,0.0128786931485016,0.130110484836298
"ENSG00000008710",2099.63565856264,-1.28017963967822e-05,0.00144259621245505,0.187551901940581,0.491334531876737
"ENSG00000008735",25.0464569697218,-1.51327453057226e-06,0.00144266561078433,0.743082993366432,0.904673770578583
"ENSG00000008838",3110.93547005837,-2.75579444268477e-05,0.0014425218395807,0.0892218718331531,0.33958159380187
"ENSG00000008853",754.041485359553,-1.70467656183001e-05,0.0014422802964703,0.468475720429707,0.749307074293933
"ENSG00000008869",2046.46675305732,-6.55844514878596e-06,0.0014422624012253,0.714522435924374,0.892329862375601
"ENSG00000008952",3875.17635011336,1.91067406266113e-06,0.00144246020599326,0.884179642048399,0.958813526287709
"ENSG00000008988",7317.96404807131,2.93200134215967e-05,0.00144245112691365,0.157097730848214,0.448636718665766
"ENSG00000009307",20094.5942001411,-3.12871871284724e-05,0.00144223181185478,0.691639807038768,0.880548612790365
"ENSG00000009335",6115.75154967304,-2.08168949842117e-05,0.0014423985928111,0.255780019498892,0.572161555773139
"ENSG00000009413",2858.93056431636,-1.85684113099927e-05,0.00144260072107391,0.0779654823571766,0.315352921176043
"ENSG00000009694",0.761615591329585,-1.50815188879787e-06,0.00144269448514271,0.078386747210225,NA
"ENSG00000009724",110.496026934923,-1.28418649972046e-05,0.00144257283816995,0.321704593907422,0.635361820584936
"ENSG00000009765",8.98136985672441,3.44848841498662e-06,0.00144266794497533,0.452507746552066,0.738760622693903
"ENSG00000009780",302.088008059291,-9.31964389690641e-06,0.00144259947503729,0.296421611538486,0.612754809133996
"ENSG00000009790",2.55591033637189,-4.63669175122278e-07,0.00144268963516102,0.813519898897608,NA
"ENSG00000009830",1025.67223238343,8.88243526540335e-07,0.00144248036426718,0.943721879791705,0.980157372371577
"ENSG00000009844",1303.62235880491,-1.01274800274179e-05,0.00144257156628229,0.315239653301676,0.629662948935438
"ENSG00000009950",14.3483960920786,3.5170943080736e-06,0.00144267191254081,0.410340757659944,0.71135663503739
"ENSG00000009954",5349.62095858673,-2.97591936073019e-06,0.00144233922632145,0.852268710255049,0.946302762688845
"ENSG00000010017",1653.93901005385,-4.28971967232321e-06,0.00144236101128753,0.892517303626606,0.962762749757573
"ENSG00000010030",9.7478999053708,-7.79299610205648e-06,0.00144269698623893,0.00202483557719374,0.0552463301565214
"ENSG00000010072",576.885119024918,-2.57057992967562e-05,0.00144255901288409,0.055959490917929,0.269309246668622
"ENSG00000010165",1176.26887915376,9.65944559212619e-06,0.00144251318006174,0.419514103898375,0.717459989730343
"ENSG00000010219",659.487639345299,4.62224206130192e-06,0.00144264861811419,0.443066236033741,0.732549047016761
"ENSG00000010244",5333.73291815187,-1.62751041457201e-06,0.00144226802355777,0.92554247720293,0.974205413704014
"ENSG00000010256",2990.36385033326,-1.46088826218031e-05,0.00144257458679447,0.170080410449817,0.467231856323373
"ENSG00000010270",2093.39170242171,-2.837554549178e-06,0.00144246106584675,0.78091620527463,0.919655053707846
"ENSG00000010278",15041.6314579863,-4.18691162702686e-06,0.00144266863334989,0.362388574271733,0.670555291079923
"ENSG00000010292",3278.25194017993,8.28631722996141e-07,0.001442665191503,0.428138125098091,0.721927348920971
