"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSG00000175984",277.478654131787,1.0428363491664,0.375957384789285,0.000176951112199513,0.0175672158616289,"DENND2C"
"ENSG00000169436",88.8990898996895,2.26856757268043,0.833046862461227,0.000188983877609923,0.0182205898153337,"COL22A1"
"ENSG00000168993",109.005185859157,-1.36711811390371,0.511592988222574,0.000204630101914386,0.018249967788799,"CPLX1"
"ENSG00000271605",89.5757046413807,-1.05016021987672,0.39396154058978,0.00021622966460139,0.0188533464952881,"MILR1"
"ENSG00000244509",1186.74026069592,-1.30789111567929,0.494336245986882,0.000218708273640033,0.0189869078769577,"APOBEC3C"
"ENSG00000166086",1460.32185082356,-1.08021029566248,0.416352356762217,0.000257357138589559,0.020507539105529,"JAM3"
"ENSG00000136011",153.125006886868,2.50040474357675,0.974902070656043,0.000280441317757598,0.0215477784916125,"STAB2"
"ENSG00000130600",284.259973474816,1.90062600421073,0.732694318599181,0.000282197062102813,0.0215999232191215,"H19"
"ENSG00000161040",65.5266973559048,-1.27452698573162,0.503079995259345,0.000296764264735604,0.0223733479887511,"FBXL13"
"ENSG00000118640",368.623550723491,-1.17253936612846,0.462973706947834,0.000298942538882935,0.02237578689152,"VAMP8"
"ENSG00000167244",1237.79688422378,1.8230678308419,0.713923451695822,0.000316428037991255,0.022663028120988,"IGF2"
"ENSG00000161921",339.45132444049,-1.04425020689364,0.416054354798231,0.000321713116201088,0.0228726039531751,"CXCL16"
"ENSG00000236641",8.91892479325357,1.00879344666398,0.398192810667049,0.00036717034164447,0.0247920337755495,NA
"ENSG00000143333",179.849314808015,1.81671119681544,0.736532396150074,0.000381134339393108,0.025234393557319,"RGS16"
"ENSG00000160013",60.7032368585237,-1.22319915605595,0.501373234736379,0.000379899615176383,0.025234393557319,"PTGIR"
"ENSG00000185339",2083.49660537847,-1.01035465751654,0.418651170095109,0.000407051978658165,0.0260799373163286,"TCN2"
"ENSG00000258647",21.451165512304,1.6557551059124,0.684881777530638,0.000425075786215025,0.0270618089420829,NA
"ENSG00000111674",322.891323543847,-1.04010134322088,0.436187360867528,0.000435807564733423,0.0271678024803743,"ENO2"
"ENSG00000104313",14.4044212374707,1.36215197071847,0.564758357261063,0.000449489007986496,0.0274494739156619,"EYA1"
"ENSG00000203722",11.429503888742,-1.1189702396242,0.469889002539425,0.000451756447510798,0.027453102419338,"RAET1G"
"ENSG00000164684",4511.74448041925,1.03174495821064,0.427904401072863,0.000462326951714209,0.0278423564254557,"ZNF704"
"ENSG00000182585",33.6314352874515,-1.22712108036668,0.525581355521807,0.000485807623117428,0.0282388002144838,"EPGN"
"ENSG00000162545",573.388723414854,-1.12541045674421,0.48547188588947,0.00049476238955358,0.0283683287599345,"CAMK2N1"
"ENSG00000174370",50.0640739123264,-1.16723441798791,0.500806422333636,0.000493085613840817,0.0283683287599345,"KCNJ5-AS1"
"ENSG00000227825",27.606410697302,-1.08430825991473,0.471104696662321,0.000535252343520411,0.0293916930093601,NA
"ENSG00000163492",48.5265863844258,1.10180791656153,0.47533443914313,0.000557854335324856,0.0299925223608704,"CCDC141"
"ENSG00000150637",94.3275669838125,1.27096904708272,0.548782905907671,0.000563253473496844,0.030060840799664,"CD226"
"ENSG00000011638",356.316104908157,-1.241080345481,0.549850494204544,0.000565621186843523,0.0300874463685942,"LDAF1"
"ENSG00000140465",882.898432549055,1.21377659191899,0.530983055872853,0.000617759671433262,0.0314430265251843,"CYP1A1"
"ENSG00000074706",118.996178065858,1.25270962405943,0.560311407907891,0.000668882597521101,0.0328768912026671,"IPCEF1"
"ENSG00000144648",203.01396375688,1.49900206570473,0.675887280102607,0.000685341734893031,0.0332030278534653,"ACKR2"
"ENSG00000234949",78.5521222440854,1.34638406297066,0.606241930508041,0.00068704806889931,0.0332030278534653,"RAB17-DT"
"ENSG00000181444",653.854958018852,1.15962041138459,0.5223158247198,0.000699062267184972,0.0334989017351391,"ZNF467"
"ENSG00000116574",674.091377940371,1.2617344756108,0.569335567467278,0.000708791029913969,0.0336826903172861,"RHOU"
"ENSG00000146648",583.007646880607,-1.02995597514211,0.478173281505367,0.000727274015027871,0.034102247401494,"EGFR"
"ENSG00000267676",8.93613505868582,1.37288121260302,0.624161786575043,0.000727822972366582,0.034102247401494,NA
"ENSG00000060656",298.722639259024,-1.00162721441385,0.47394624172035,0.000791389231539376,0.0349072698855024,"PTPRU"
"ENSG00000076554",534.409185749977,1.08141456938076,0.49940385004839,0.000817770658609327,0.035420243602055,"TPD52"
"ENSG00000198074",9.65896878032836,-1.14722746493646,0.545504197139531,0.000844402676366923,0.0358242324399693,"AKR1B10"
"ENSG00000228742",72.7492043673901,-1.5595343699622,0.773983222356065,0.000881685246120373,0.0365837196698176,"LINC02577"
"ENSG00000183807",141.589199849203,1.34591074628271,0.644006895370571,0.000907305155709233,0.0372335395634415,"FAM162B"
